build,repeat,client,mode,size,concurrency,rounds,seconds,client_cpu_seconds,mib_per_second,first_item_seconds,rss_before_kib,rss_after_close_kib,rss_peak,failed_requests,open_failed,active_requests
baseline,0,sync,bytes,4096,1,128,0.37543154205195606,0.44072,340.9409856731911,0.00022022903431206942,39632,41968,43302912,0,0,0
candidate,0,sync,bytes,4096,1,128,0.35208637500181794,0.423766,363.54715515287717,0.00020727096125483513,40992,44112,45400064,0,0,0
baseline,0,sync,bytes,4096,10,32,1.0765452090417966,3.7748790000000003,297.24715442728433,0.0005498534883372486,39872,47952,50724864,0,0,0
candidate,0,sync,bytes,4096,10,32,1.0854815000202507,3.663671,294.80004955775854,0.0005562914884649217,39856,51760,54575104,0,0,0
baseline,0,sync,bytes,65536,1,128,0.05533691600430757,0.06897,2313.103245400162,0.00013166648568585515,39440,42704,44072960,0,0,0
candidate,0,sync,bytes,65536,1,128,0.053343583014793694,0.064784,2399.5388529582265,0.0001321875024586916,39872,43776,45137920,0,0,0
baseline,0,sync,bytes,65536,10,32,0.10611100005917251,0.325556,3015.7099624125008,0.0005128125194460154,39744,52240,55115776,0,0,0
candidate,0,sync,bytes,65536,10,32,0.10551041702274233,0.325244,3032.8758906433413,0.0005156875122338533,39728,55152,58048512,0,0,0
baseline,0,sync,bytes,262144,1,128,0.039772292017005384,0.04868499999999999,3218.3209342139803,0.0001437084865756333,39552,43776,45154304,0,0,0
candidate,0,sync,bytes,262144,1,128,0.038054707925766706,0.04877799999999999,3363.578568246786,0.00013275002129375935,39856,44176,45580288,0,0,0
baseline,0,sync,bytes,262144,10,32,0.06447387498337775,0.18577299999999997,4963.250620231844,0.0005419579683803022,39936,56992,59981824,0,0,0
candidate,0,sync,bytes,262144,10,32,0.06261666701175272,0.182738,5110.460445618068,0.0005421665846370161,39712,59408,62406656,0,0,0
baseline,0,sync,drip,65536,1,16,0.4032235409831628,0.025303000000000006,39.680222937847034,0.00044658296974375844,39440,42336,43679744,0,0,0
candidate,0,sync,drip,65536,1,16,0.3958100830204785,0.024763999999999994,40.423427007977935,0.000503729039337486,39936,42912,44253184,0,0,0
baseline,0,sync,drip,65536,10,16,0.4077282919315621,0.17148800000000003,392.4181940920015,0.000533771060872823,39712,47776,50544640,0,0,0
candidate,0,sync,drip,65536,10,16,0.4151155829895288,0.167774,385.4348199788876,0.0006011454970575869,39744,50928,53723136,0,0,0
baseline,0,sync,close,65536,1,16,0.005079666036181152,0.004283000000000009,24.345076049527343,0.0002586874761618674,39648,42048,43384832,18,0,0
candidate,0,sync,close,65536,1,16,0.005939875030890107,0.0046579999999999955,20.79358803843072,0.00030570849776268005,39648,42000,43352064,18,0,0
baseline,0,sync,close,65536,10,16,0.5410339159425348,0.07720400000000001,2.2970652773272167,0.002291625482030213,40000,42880,45531136,180,0,0
candidate,0,sync,close,65536,10,16,0.5330143339233473,0.070865,2.3316262679470348,0.0018216039752587676,39760,42528,45121536,180,0,0
baseline,0,sync,lines,65536,1,8,0.1617410839535296,0.162391,46.714563039968525,0.0005501459818333387,39552,43296,44580864,0,0,0
candidate,0,sync,lines,65536,1,8,0.15727008297108114,0.157843,48.04260238032263,0.0005001454264856875,39504,43360,44662784,0,0,0
baseline,0,sync,lines,65536,10,8,1.5739712920039892,1.622419,48.003823836456924,0.006293583486694843,40000,54144,57032704,0,0,0
