build,repeat,size,frames,iterations,ns_per_chunk
baseline,0,4096,1,65536,124.1
baseline,0,4096,2,65536,177.3
baseline,0,65536,1,4096,1742.4
baseline,0,65536,2,4096,2929.8
baseline,0,262144,1,1024,6598.2
baseline,0,262144,2,1024,6850.8
candidate,0,4096,1,65536,73.4
candidate,0,4096,2,65536,143.4
candidate,0,65536,1,4096,698.9
candidate,0,65536,2,4096,1580.3
candidate,0,262144,1,1024,3766.2
candidate,0,262144,2,1024,7753.6
candidate,1,4096,1,65536,66.2
candidate,1,4096,2,65536,140.7
candidate,1,65536,1,4096,661.9
candidate,1,65536,2,4096,1492.0
candidate,1,262144,1,1024,3284.1
candidate,1,262144,2,1024,7173.6
baseline,1,4096,1,65536,126.0
baseline,1,4096,2,65536,197.9
baseline,1,65536,1,4096,1732.8
baseline,1,65536,2,4096,2457.1
baseline,1,262144,1,1024,6818.5
baseline,1,262144,2,1024,6452.1
baseline,2,4096,1,65536,130.3
baseline,2,4096,2,65536,181.0
baseline,2,65536,1,4096,1852.7
baseline,2,65536,2,4096,2656.9
baseline,2,262144,1,1024,6850.6
baseline,2,262144,2,1024,6539.8
candidate,2,4096,1,65536,66.1
candidate,2,4096,2,65536,131.1
candidate,2,65536,1,4096,667.4
candidate,2,65536,2,4096,1415.7
candidate,2,262144,1,1024,3236.0
candidate,2,262144,2,1024,6415.8
